brand,model,number_2019,number_2018,number_2017,number_2016,number_2015,number_2014,number_2013
Honda,Accord,0,1,1,1,127,257,230
Lada,4x4 Urban,0,8,24,8,0,0,0
Lada,Kalina Cross,0,2,0,0,0,0,0
Lexus,GS,0,6,14,29,18,55,71
Mitsubishi,Attrage,0,14,40,46,109,0,0
Mitsubishi,Colt,0,1,0,0,17,162,1558
Nissan,Note,0,5,163,414,657,960,505
Nissan,Patrol,0,19,13,0,0,0,0
Peugeot,4008,0,1,152,247,188,208,317
Peugeot,Partner,0,142,263,367,476,258,428
Secma,Fun,0,4,0,0,0,0,0
Skoda,Yeti,0,34,1025,2065,2223,2380,2067
Stimbo,HV-P,0,1,2,1,0,0,0
Toyota,Avensis,0,7,63,171,171,187,437
Alpina,B6 Biturbo,0,0,2,4,2,2,0
Alpina,D4 Biturbo,0,0,1,0,0,0,0
Aston Martin,Vantage GT12,0,0,2,12,0,0,0
Aston Martin,Vantage GT8,0,0,5,0,0,0,0
Cadillac,SRX,0,0,3,32,33,41,30
Cadillac,XLR,0,0,1,0,0,0,0
Chevrolet,Cruze,0,0,4,2,10,437,791
Citroen,E-Mehari,0,0,12,17,0,0,0
Dodge,Journey,0,0,3,46,0,0,2
Ferrari,FF,0,0,2,6,30,28,50
Fiat,Scudo,0,0,4,23,55,97,83
Hyundai,H-1 People,0,0,1,9,33,40,32
Hyundai,Veloster,0,0,3,11,60,84,244
Infiniti,QX50,0,0,1,12,37,4,0
Maserati,GT MC Stradale,0,0,1,8,10,10,12
McLaren,650S,0,0,1,15,21,22,0
Mercedes-Benz,AMG GT S,0,0,191,197,326,3,0
Mini,Cooper,0,0,3485,3549,2841,2480,1876
Mini,Cooper All4,0,0,88,1154,1495,1586,1789
Mini,One,0,0,398,564,525,397,1059
Opel,Antara,0,0,17,37,124,264,366
Peugeot,107,0,0,1,1,4,243,700
Peugeot,206+,0,0,2,1,0,1,61
Peugeot,RCZ,0,0,4,46,62,105,137
Renault,Laguna,0,0,1,13,105,208,295
Seat,Altea,0,0,1,3,94,271,519
Seat,Toledo,0,0,8,35,56,99,158
Stimbo,ET 1000,0,0,1,1,3,9,0
Toyota,Verso-S,0,0,2,13,297,444,478
Volvo,S80,0,0,1,5,31,30,49
Volvo,V50,0,0,1,0,1,3,78
Volvo,V70,0,0,15,179,202,369,358
Volvo,XC70,0,0,11,221,335,381,372
VW,CC,0,0,1,21,52,112,176
VW,T5,0,0,3,19,1802,2402,2083
Aston Martin,Lagonda,0,0,0,1,0,0,0
Bugatti,Grand Sport,0,0,0,3,3,0,0
Cadillac,ELR,0,0,0,11,0,0,0
Chevrolet,Captiva,0,0,0,6,19,170,612
Chevrolet,Orlando,0,0,0,1,5,178,502
Chevrolet,Spark,0,0,0,6,29,262,540
Chevrolet,Volt,0,0,0,1,2,38,71
Chrysler,300C,0,0,0,1,1,16,12
Citroen,DS3,0,0,0,714,916,1171,1204
Citroen,DS4,0,0,0,493,499,423,411
Citroen,DS5,0,0,0,186,299,316,502
Dodge,Grand Caravan,0,0,0,5,0,0,0
Fisker,Karma,0,0,0,1,4,17,24
Honda,CR-Z,0,0,0,1,3,55,40
Hyundai,Genesis,0,0,0,3,5,38,19
Jeep,Rengade,0,0,0,1009,1383,235,0
Lamborghini,Gallardo,0,0,0,1,4,18,21
Mazda,5,0,0,0,32,523,488,731
McLaren,MP4-12C,0,0,0,1,0,15,30
McLaren,MSO HS,0,0,0,2,0,0,0
McLaren,P1,0,0,0,1,5,12,1
Mercedes-Benz,GL-Klasse,0,0,0,30,178,187,209
Mercedes-Benz,ML-Klasse,0,0,0,1,489,993,1264
Mercedes-Benz,SLK-Klasse,0,0,0,25,233,294,313
Mercedes-Benz,SLS,0,0,0,1,0,0,51
Mercedes-Benz,Viano,0,0,0,1,33,423,624
Nissan,Murano,0,0,0,10,152,73,103
Nissan,Pathfinder,0,0,0,4,27,112,113
Nissan,Pixo,0,0,0,1,0,6,97
Opel,Agila,0,0,0,12,116,238,306
Peugeot,207,0,0,0,3,133,130,570
Porsche,918,0,0,0,3,25,15,0
Skoda,Roomster,0,0,0,1,170,342,632
Subaru,Legacy,0,0,0,5,374,568,722
Subaru,Trezia,0,0,0,1,36,288,437
Suzuki,Grand Vitara,0,0,0,4,70,311,423
Suzuki,Splash,0,0,0,3,18,148,187
Suzuki,SX4,0,0,0,30,459,2019,4003
Tazzari,Zero,0,0,0,4,2,3,0
VW,Jetta,0,0,0,7,59,10,40
Aston Martin,Cygnet,0,0,0,0,1,3,24
Chevrolet,Trax,0,0,0,0,19,442,666
Citroen,C8,0,0,0,0,7,95,218
Citroen,Nemo,0,0,0,0,8,27,71
Ferrari,488 GTB ,0,0,0,0,37,0,0
Fiat,Bravo,0,0,0,0,1,107,342
Fiat,Sedici,0,0,0,0,40,468,355
Infiniti,FX,0,0,0,0,1,15,59
Infiniti,M,0,0,0,0,2,1,8
Infiniti,QX60,0,0,0,0,1,0,0
Jaguar,XK,0,0,0,0,2,11,32
KTM,X-Bow,0,0,0,0,1,5,3
Lada,Niva,0,0,0,0,5,31,12
Lancia,Delta,0,0,0,0,1,54,132
Lancia,Thema,0,0,0,0,1,38,163
Lancia,Voyager,0,0,0,0,9,408,245
Land Rover,Freelander,0,0,0,0,10,60,143
McLaren,570S,0,0,0,0,1,0,0
Mercedes-Benz,GLK-Klasse,0,0,0,0,663,1221,1570
Mercedes-Benz,SLS AMG,0,0,0,0,10,55,0
Mitsubishi,Grandis,0,0,0,0,1,1,2
Nissan,Primastar,0,0,0,0,4,44,50
Peugeot,807,0,0,0,0,14,101,182
Peugeot,Bipper,0,0,0,0,11,22,30
Seat,Exeo,0,0,0,0,1,72,290
Suzuki,Alto,0,0,0,0,34,184,286
Suzuki,Kizashi,0,0,0,0,7,72,123
Toyota,IQ,0,0,0,0,11,66,168
Toyota,UrbanCruiser,0,0,0,0,15,66,155
Volvo,C70,0,0,0,0,5,29,150
VW,EOS,0,0,0,0,32,54,92
VW,Phaeton,0,0,0,0,5,6,15
VW,XL1,0,0,0,0,7,1,0
Bugatti,Veyron,0,0,0,0,0,2,4
Chevrolet,Malibu,0,0,0,0,0,36,172
Honda,Insight,0,0,0,0,0,78,145
Infiniti,EX,0,0,0,0,0,4,6
Infiniti,G37,0,0,0,0,0,1,5
Jeep,Patriot,0,0,0,0,0,58,8
Kia,Carnival,0,0,0,0,0,2,73
Lancia,Flavia,0,0,0,0,0,65,60
Land Rover,Defender,0,0,0,0,0,1,1
Lexus,RC-F,0,0,0,0,0,1,0
Mercedes-Benz,CL-Klasse,0,0,0,0,0,1,8
Peugeot,4007,0,0,0,0,0,0,45
Renault,Fluence,0,0,0,0,0,0,7
Renault,Latitude,0,0,0,0,0,0,12
Renault,Modus,0,0,0,0,0,3,68
