year,country,motor_energy,engine,cars,cars_normalized,population,pop_normalized,ratio
1995-01-01,Germany,Total,Total,40404000.0,131.67345608603551,81538603.0,103.06621817136086,49.6
1995-01-01,Estonia,Total,Total,383444.0,158.66823358050848,1448075.0,92.19889991016167,26.5
1995-01-01,Ireland,Total,Total,990384.0,124.15292216624275,3597617.0,102.58476690704512,27.5
1995-01-01,Greece,Total,Total,2205000.0,127.01612903225808,10535973.0,104.10122941732804,20.9
1995-01-01,Spain,Total,Total,14212000.0,118.47282427475825,39639726.0,102.02428230736149,35.9
1995-01-01,France,Total,Total,25100000.0,106.58174097664543,59315139.0,102.2156717875998,42.3
1995-01-01,Croatia,Total,Total,711000.0,89.43396226415095,4658893.0,97.61840405853802,15.3
1995-01-01,Italy,Total,Total,30301000.0,110.52305223227312,56844408.0,100.2646612467272,53.3
1995-01-01,Cyprus,Total,Total,220000.0,122.90502793296089,645399.0,112.70293632291694,34.1
1995-01-01,Latvia,Total,Total,332000.0,100.04912050193317,2500580.0,93.71996971673151,13.3
1995-01-01,Lithuania,Total,Total,718469.0,145.73998945190473,3642991.0,98.62693531811394,19.7
1995-01-01,Hungary,Total,Total,2244946.0,115.44792042181416,10336700.0,99.63254312868759,21.7
1995-01-01,Malta,Total,Total,180851.0,165.71918153411954,376433.0,106.81071418437705,48.0
1995-01-01,Netherlands,Total,Total,5664000.0,102.81357778181157,15424122.0,103.56921510008948,36.7
1995-01-01,Austria,Total,Total,3594000.0,120.160481444333,7943489.0,103.90684251737584,45.2
1995-01-01,Poland,Total,Total,7517266.0,142.89625266554714,38580597.0,101.42538581338442,19.5
1995-01-01,Portugal,Total,Total,3751000.0,146.98275862068965,10008659.0,100.12669073964122,37.5
1995-01-01,Romania,Total,Total,2197477.0,173.9886777513856,22712394.0,97.85018952975467,9.7
1995-01-01,Slovenia,Total,Total,698212.0,120.74193972345002,1989477.0,99.6543738983168,35.1
1995-01-01,Slovakia,Total,Total,1015794.0,79.71738536732367,5356207.0,101.29630046392897,19.0
1995-01-01,Finland,Total,Total,1901000.0,98.04022692109335,5098754.0,102.50022967672574,37.3
1995-01-01,Sweden,Total,Total,3631000.0,100.86111111111111,8816381.0,103.39322946687591,41.2
1995-01-01,United Kingdom,Total,Total,21951000.0,105.93089470128365,57943472.0,101.37603510556856,37.9
1995-01-01,Iceland,Total,Total,119000.0,99.16666666666667,266978.0,105.19849478889611,44.6
1995-01-01,Liechtenstein,Total,Total,19000.0,112.49259917110717,30629.0,107.65148319977507,62.0
1995-01-01,Norway,Total,Total,1685000.0,104.46373217606944,4348410.0,102.72362014175846,38.7
1995-01-01,Switzerland,Total,Total,3229000.0,108.17420435510887,7019019.0,105.17196221071796,46.0
1996-01-01,Belgium,Total,Total,4339000.0,112.29296066252587,10143047.0,101.962899870544,42.8
1996-01-01,Bulgaria,Total,Total,1707000.0,129.6127562642369,8384715.0,95.6361405348141,20.4
1996-01-01,Czechia,Total,Total,3192532.0,132.41526337619246,10321344.0,99.60666281802669,30.9
1996-01-01,Denmark,Total,Total,1739000.0,109.37106918238995,5251027.0,102.25138835095706,33.1
1996-01-01,Germany,Total,Total,40988000.0,133.57666612351312,81817499.0,103.41874758596366,50.1
1996-01-01,Estonia,Total,Total,406598.0,168.24930481991524,1425192.0,90.74193985861444,28.5
1996-01-01,Ireland,Total,Total,1057383.0,132.5518074796324,3620065.0,103.22486362871652,29.2
1996-01-01,Greece,Total,Total,2339000.0,134.73502304147465,10588332.0,104.61856524108744,22.1
1996-01-01,France,Total,Total,25500000.0,108.28025477707006,59522297.0,102.5726598094297,42.8
1996-01-01,Croatia,Total,Total,836000.0,105.15723270440252,4581167.0,95.98980085304395,18.2
1996-01-01,Italy,Total,Total,30470000.0,111.13948059527283,56844197.0,100.2642890756682,53.6
1996-01-01,Cyprus,Total,Total,227000.0,126.81564245810056,656333.0,114.61228837607284,34.6
1996-01-01,Latvia,Total,Total,379895.0,114.48241154542742,2469531.0,92.55627515797522,15.4
1996-01-01,Lithuania,Total,Total,785088.0,159.25351941255224,3615212.0,97.87487262122507,21.7
1996-01-01,Hungary,Total,Total,2265180.0,116.48846804381263,10321229.0,99.4834225123648,21.9
1996-01-01,Malta,Total,Total,166182.0,152.27753800478325,378404.0,107.36997417926963,43.9
1996-01-01,Netherlands,Total,Total,5810000.0,105.46378653113089,15493889.0,104.03768347902786,37.5
1996-01-01,Austria,Total,Total,3690000.0,123.37011033099299,7953067.0,104.03212999969391,46.4
1996-01-01,Poland,Total,Total,8054448.0,153.1075841255998,38609399.0,101.50110402899932,20.9
1996-01-01,Portugal,Total,Total,4003000.0,156.85736677115986,10043693.0,100.47717110702837,39.9
1996-01-01,Romania,Total,Total,2391869.0,189.37996832937452,22656145.0,97.60785596901866,10.6
1996-01-01,Slovenia,Total,Total,728000.0,125.8931844750185,1990266.0,99.69389549168318,36.6
1996-01-01,Slovakia,Total,Total,1058425.0,83.06297694946964,5367790.0,101.51535754075098,19.7
1996-01-01,Finland,Total,Total,1943000.0,100.2062919030428,5116826.0,102.86353101480124,38.0
1996-01-01,Sweden,Total,Total,3655000.0,101.52777777777777,8837496.0,103.64085352488712,41.4
1996-01-01,United Kingdom,Total,Total,22819000.0,110.11967956760931,58094587.0,101.64042104959654,39.3
1996-01-01,Iceland,Total,Total,125000.0,104.16666666666667,267958.0,105.58464842287762,46.6
1996-01-01,Liechtenstein,Total,Total,19000.0,112.49259917110717,30923.0,108.68480247434276,61.4
1996-01-01,Norway,Total,Total,1661000.0,102.97582145071296,4369957.0,103.23263052559864,38.0
1996-01-01,Switzerland,Total,Total,3268000.0,109.48073701842547,7062354.0,105.82128756265124,46.3
1997-01-01,Belgium,Total,Total,4415000.0,114.25983436853002,10170226.0,102.23611655341864,43.4
1997-01-01,Bulgaria,Total,Total,1731000.0,131.43507972665148,8340936.0,95.13679683661165,20.8
1997-01-01,Czechia,Total,Total,3391541.0,140.6694732476151,10309137.0,99.48885853468727,32.9
1997-01-01,Denmark,Total,Total,1783000.0,112.13836477987422,5275121.0,102.72056227653923,33.8
1997-01-01,Germany,Total,Total,41372000.0,134.8280919015806,82012162.0,103.6648050175325,50.4
1997-01-01,Estonia,Total,Total,427678.0,176.9721596927966,1405996.0,89.5197310070871,30.4
1997-01-01,Ireland,Total,Total,1134400.0,142.2065329260022,3654955.0,104.21973954724449,31.0
1997-01-01,Greece,Total,Total,2500000.0,144.00921658986175,10629267.0,105.02302563845163,23.5
1997-01-01,France,Total,Total,26090000.0,110.78556263269638,59726386.0,102.92435913259,43.7
1997-01-01,Croatia,Total,Total,932000.0,117.23270440251572,4533028.0,94.98113798978996,20.6
1997-01-01,Italy,Total,Total,30748000.0,112.15348701488182,56876364.0,100.32102664180351,54.1
1997-01-01,Cyprus,Total,Total,235000.0,131.2849162011173,666313.0,116.35504797827663,35.3
1997-01-01,Latvia,Total,Total,431816.0,130.1289488513939,2444912.0,91.6335724512207,17.7
1997-01-01,Lithuania,Total,Total,882101.0,178.93241105115828,3588013.0,97.1385123025426,24.6
1997-01-01,Hungary,Total,Total,2297964.0,118.17440820589616,10301247.0,99.290821636186,22.3
1997-01-01,Malta,Total,Total,183774.0,168.39761387690024,381405.0,108.2214907924978,48.2
1997-01-01,Netherlands,Total,Total,5931000.0,107.66019241241605,15567107.0,104.52932448077814,38.1
1997-01-01,Austria,Total,Total,3783000.0,126.47943831494484,7964966.0,104.18777791701517,47.5
1997-01-01,Poland,Total,Total,8533449.0,162.21294875192135,38639341.0,101.5798192158593,22.1
1997-01-01,Portugal,Total,Total,4273000.0,167.43730407523512,10084196.0,100.88236338653631,42.4
1997-01-01,Romania,Total,Total,2605465.0,206.29176563737133,22581862.0,97.28782781043535,11.5
1997-01-01,Slovenia,Total,Total,779000.0,134.71262459620797,1986989.0,99.52974813875335,39.2
1997-01-01,Slovakia,Total,Total,1135914.0,89.14415135562733,5378932.0,101.726074449147,21.1
1997-01-01,Finland,Total,Total,1948000.0,100.4641567818463,5132320.0,103.17500682999278,38.0
1997-01-01,Sweden,Total,Total,3702000.0,102.83333333333333,8844499.0,103.72298050941247,41.9
1997-01-01,United Kingdom,Total,Total,23450000.0,113.16475243702347,58239312.0,101.89362725513172,40.3
1997-01-01,Iceland,Total,Total,132000.0,110.00000000000001,269874.0,106.33961818074353,48.9
1997-01-01,Liechtenstein,Total,Total,20000.0,118.41326228537596,31143.0,109.45803458456346,64.2
1997-01-01,Norway,Total,Total,1758000.0,108.98946063236205,4392714.0,103.77022505407365,40.0
1997-01-01,Switzerland,Total,Total,3323000.0,111.32328308207707,7081346.0,106.10586093484271,46.9
1998-01-01,Belgium,Total,Total,4492000.0,116.25258799171843,10192264.0,102.45765337439039,44.1
1998-01-01,Bulgaria,Total,Total,1809000.0,137.35763097949888,8283200.0,94.47825946117098,21.8
1998-01-01,Czechia,Total,Total,3492961.0,144.87602654500208,10299125.0,99.39223721210233,33.9
1998-01-01,Denmark,Total,Total,1817000.0,114.27672955974843,5294860.0,103.10493283008229,34.3
1998-01-01,Germany,Total,Total,41674000.0,135.8122861332899,82057379.0,103.72196009519618,50.8
1998-01-01,Estonia,Total,Total,450954.0,186.60371424788136,1393074.0,88.69698758244466,32.4
1998-01-01,Ireland,Total,Total,1196900.0,150.04143094070173,3693386.0,105.3155858190974,32.4
1998-01-01,Greece,Total,Total,2676000.0,154.14746543778801,10693250.0,105.65521299901235,25.0
1998-01-01,France,Total,Total,26810000.0,113.84288747346072,59934884.0,103.28365632881457,44.7
1998-01-01,Croatia,Total,Total,1000000.0,125.78616352201257,4536812.0,95.06042464457201,22.0
1998-01-01,Italy,Total,Total,31573000.0,115.1626787277502,56904379.0,100.37044072814298,55.5
1998-01-01,Cyprus,Total,Total,249000.0,139.10614525139664,675215.0,117.90956160340869,36.9
1998-01-01,Latvia,Total,Total,482670.0,145.45394274900025,2420789.0,90.72945947364082,19.9
1998-01-01,Lithuania,Total,Total,980910.0,198.9756176721165,3562261.0,96.4413267101785,27.5
1998-01-01,Luxembourg,Total,Total,253000.0,131.77083333333331,422050.0,111.27076192987082,59.9
1998-01-01,Hungary,Total,Total,2218124.0,114.06858028554635,10279724.0,99.0833674945587,21.6
1998-01-01,Malta,Total,Total,173700.0,159.16650630893147,384176.0,109.00774621910733,45.2
1998-01-01,Netherlands,Total,Total,6120000.0,111.09094209475403,15654192.0,105.11407900340129,39.1
1998-01-01,Austria,Total,Total,3887000.0,129.95653627549316,7971116.0,104.26822456728205,48.8
1998-01-01,Poland,Total,Total,8890763.0,169.00515640094392,38659979.0,101.63407491108394,23.0
1998-01-01,Portugal,Total,Total,4587000.0,179.74137931034483,10133758.0,101.37818196187574,45.3
1998-01-01,Romania,Total,Total,2822254.0,223.45637371338083,22526093.0,97.0475621995145,12.5
1998-01-01,Slovenia,Total,Total,814000.0,140.76518154212235,1984923.0,99.4262606712059,41.0
1998-01-01,Slovakia,Total,Total,1196109.0,93.86812886699879,5387650.0,101.89094879911976,22.2
1998-01-01,Finland,Total,Total,2021000.0,104.22898401237752,5147349.0,103.47713475218936,39.3
1998-01-01,Sweden,Total,Total,3791000.0,105.30555555555556,8847625.0,103.75964036285046,42.8
1998-01-01,United Kingdom,Total,Total,23922000.0,115.44252485281343,58394596.0,102.16530714748151,41.0
1998-01-01,Iceland,Total,Total,140000.0,116.66666666666667,272381.0,107.32746222195952,51.4
1998-01-01,Liechtenstein,Total,Total,20000.0,118.41326228537596,31320.0,110.08013496415015,63.9
1998-01-01,Norway,Total,Total,1786000.0,110.72535647861127,4417599.0,104.3580898798899,40.4
1998-01-01,Switzerland,Total,Total,3383000.0,113.33333333333333,7096465.0,106.33240183702061,47.7
1999-01-01,Belgium,Total,Total,4584000.0,118.6335403726708,10213752.0,102.67366132470535,44.9
1999-01-01,Bulgaria,Total,Total,1908000.0,144.874715261959,8230371.0,93.87569137527734,23.2
1999-01-01,Czechia,Total,Total,3440000.0,142.67938614682706,10289621.0,99.30051836972847,33.4
1999-01-01,Denmark,Total,Total,1843000.0,115.9119496855346,5313577.0,103.46940233971627,34.7
1999-01-01,Germany,Total,Total,42324000.0,137.9305849763728,82037011.0,103.69621458749214,51.6
