"TIME","GEO","INDIC_DE","Value"
"1997","Iceland","Population on 1 January - total","269 874"
"1997","Liechtenstein","Population on 1 January - total","31 143"
"1997","Norway","Population on 1 January - total","4 392 714"
"1997","Switzerland","Population on 1 January - total","7 081 346"
"1998","European Union - 27 countries (from 2020)","Population on 1 January - total","427 482 962"
"1998","European Union - 28 countries (2013-2020)","Population on 1 January - total","485 877 558"
"1998","Belgium","Population on 1 January - total","10 192 264"
"1998","Bulgaria","Population on 1 January - total","8 283 200"
"1998","Czechia","Population on 1 January - total","10 299 125"
"1998","Denmark","Population on 1 January - total","5 294 860"
"1998","Germany including former GDR","Population on 1 January - total","82 057 379"
"1998","Estonia","Population on 1 January - total","1 393 074"
"1998","Ireland","Population on 1 January - total","3 693 386"
"1998","Greece","Population on 1 January - total","10 693 250"
"1998","Spain","Population on 1 January - total","40 143 449"
"1998","France","Population on 1 January - total","59 934 884"
"1998","Croatia","Population on 1 January - total","4 536 812"
"1998","Italy","Population on 1 January - total","56 904 379"
"1998","Cyprus","Population on 1 January - total","675 215"
"1998","Latvia","Population on 1 January - total","2 420 789"
"1998","Lithuania","Population on 1 January - total","3 562 261"
"1998","Luxembourg","Population on 1 January - total","422 050"
"1998","Hungary","Population on 1 January - total","10 279 724"
"1998","Malta","Population on 1 January - total","384 176"
"1998","Netherlands","Population on 1 January - total","15 654 192"
"1998","Austria","Population on 1 January - total","7 971 116"
"1998","Poland","Population on 1 January - total","38 659 979"
"1998","Portugal","Population on 1 January - total","10 133 758"
"1998","Romania","Population on 1 January - total","22 526 093"
"1998","Slovenia","Population on 1 January - total","1 984 923"
"1998","Slovakia","Population on 1 January - total","5 387 650"
"1998","Finland","Population on 1 January - total","5 147 349"
"1998","Sweden","Population on 1 January - total","8 847 625"
"1998","United Kingdom","Population on 1 January - total","58 394 596"
"1998","Iceland","Population on 1 January - total","272 381"
"1998","Liechtenstein","Population on 1 January - total","31 320"
"1998","Norway","Population on 1 January - total","4 417 599"
"1998","Switzerland","Population on 1 January - total","7 096 465"
"1999","European Union - 27 countries (from 2020)","Population on 1 January - total","427 998 269"
"1999","European Union - 28 countries (2013-2020)","Population on 1 January - total","486 577 954"
"1999","Belgium","Population on 1 January - total","10 213 752"
"1999","Bulgaria","Population on 1 January - total","8 230 371"
"1999","Czechia","Population on 1 January - total","10 289 621"
"1999","Denmark","Population on 1 January - total","5 313 577"
"1999","Germany including former GDR","Population on 1 January - total","82 037 011"
"1999","Estonia","Population on 1 January - total","1 379 237"
"1999","Ireland","Population on 1 January - total","3 732 006"
"1999","Greece","Population on 1 January - total","10 747 768"
"1999","Spain","Population on 1 January - total","40 303 568"
"1999","France","Population on 1 January - total","60 158 533"
"1999","Croatia","Population on 1 January - total","4 527 460"
"1999","Italy","Population on 1 January - total","56 909 109"
"1999","Cyprus","Population on 1 January - total","682 862"
"1999","Latvia","Population on 1 January - total","2 399 248"
"1999","Lithuania","Population on 1 January - total","3 536 401"
"1999","Luxembourg","Population on 1 January - total","427 350"
"1999","Hungary","Population on 1 January - total","10 253 416"
"1999","Malta","Population on 1 January - total","386 397"
"1999","Netherlands","Population on 1 January - total","15 760 225"
"1999","Austria","Population on 1 January - total","7 982 461"
"1999","Poland","Population on 1 January - total","38 666 983"
"1999","Portugal","Population on 1 January - total","10 186 634"
"1999","Romania","Population on 1 January - total","22 488 595"
"1999","Slovenia","Population on 1 January - total","1 978 334"
"1999","Slovakia","Population on 1 January - total","5 393 382"
